id,group_id,user_id,role,created_at,updated_at
1,1,1,root,2019-01-22 16:18:03,2019-01-23 16:18:03
2,5,2,overseeker,2019-01-23 16:18:03,2019-01-24 16:18:03
3,5,3,user,2019-01-24 16:18:03,2019-01-25 16:18:03
4,5,4,user,2019-01-25 16:18:03,2019-01-26 16:18:03
5,6,5,user,2019-01-26 16:18:03,2019-01-27 16:18:03
6,6,6,user,2019-01-27 16:18:03,2019-01-28 16:18:03
7,6,7,user,2019-01-28 16:18:03,2019-01-29 16:18:03
8,6,8,user,2019-01-29 16:18:03,2019-01-30 16:18:03
9,6,9,user,2019-01-30 16:18:03,2019-01-31 16:18:03
10,6,10,user,2019-01-31 16:18:03,2019-02-01 16:18:03
11,6,11,user,2019-02-01 16:18:03,2019-02-02 16:18:03
12,6,12,user,2019-02-02 16:18:03,2019-02-03 16:18:03
13,6,13,user,2019-02-03 16:18:03,2019-02-04 16:18:03
14,6,14,user,2019-02-04 16:18:03,2019-02-05 16:18:03
15,6,15,user,2019-02-05 16:18:03,2019-02-06 16:18:03
16,6,16,user,2019-02-06 16:18:03,2019-02-07 16:18:03
17,6,17,user,2019-02-07 16:18:03,2019-02-08 16:18:03
18,6,18,user,2019-02-08 16:18:03,2019-02-09 16:18:03
19,6,19,user,2019-02-09 16:18:03,2019-02-10 16:18:03
20,6,20,user,2019-02-10 16:18:03,2019-02-11 16:18:03
21,6,21,user,2019-02-11 16:18:03,2019-02-12 16:18:03
22,6,22,user,2019-02-12 16:18:03,2019-02-13 16:18:03
23,6,23,user,2019-02-13 16:18:03,2019-02-14 16:18:03
24,6,24,user,2019-02-14 16:18:03,2019-02-15 16:18:03
25,6,25,user,2019-02-15 16:18:03,2019-02-16 16:18:03
26,6,26,user,2019-02-16 16:18:03,2019-02-17 16:18:03
27,6,27,user,2019-02-17 16:18:03,2019-02-18 16:18:03
28,6,28,user,2019-02-18 16:18:03,2019-02-19 16:18:03
29,6,29,user,2019-02-19 16:18:03,2019-02-20 16:18:03
30,6,30,user,2019-02-20 16:18:03,2019-02-21 16:18:03
31,6,31,user,2019-02-21 16:18:03,2019-02-22 16:18:03
32,6,32,user,2019-02-22 16:18:03,2019-02-23 16:18:03
33,6,33,user,2019-02-23 16:18:03,2019-02-24 16:18:03
34,6,34,user,2019-02-24 16:18:03,2019-02-25 16:18:03
35,6,35,user,2019-02-25 16:18:03,2019-02-26 16:18:03
36,6,36,user,2019-02-26 16:18:03,2019-02-27 16:18:03
37,6,37,user,2019-02-27 16:18:03,2019-02-28 16:18:03
38,6,38,user,2019-02-28 16:18:03,2019-03-01 16:18:03
39,6,39,user,2019-03-01 16:18:03,2019-03-02 16:18:03
40,6,40,user,2019-03-02 16:18:03,2019-03-03 16:18:03
